Customer_ID,Age,Gender,Occupation,Region,Annual_Income,Policy_Type,Annual_Premium,Total_Claim_Amount,Number_of_Claims,Policy_Tenure_Years,Support_Calls_Last_Year,Payment_Mode,Policy_Start_Date,Retention_Offer_Accepted_After_Lapse,Policy_Renewed
INS20060,32.0,Male,Salaried,North,556400.0,Life,33700.0,0.0,2.0,7.0,2.0,UPI,2021-03-31,No,Yes
INS20061,35.0,Male,Salaried,North,616200.0,Life,33100.0,0.0,1.0,7.0,1.0,Auto-debit,2022-03-13,Yes,No
INS20062,48.0,Female,Salaried,East,900100.0,Travel,27600.0,0.0,0.0,3.0,2.0,Credit Card,2022-06-30,No,No
INS20063,25.0,Female,Salaried,North,614100.0,Health,20700.0,9700.0,3.0,4.0,3.0,UPI,2023-04-09,Yes,Yes
INS20064,30.0,Male,Salaried,West,513100.0,Motor,29900.0,63100.0,1.0,1.0,0.0,Auto-debit,2020-10-01,No,No
INS20065,36.0,Male,Salaried,North,338000.0,Motor,12600.0,0.0,1.0,4.0,3.0,UPI,2021-07-28,No,Yes
INS20066,18.0,Female,Business,South,455600.0,Life,15200.0,1846011.0,0.0,7.0,1.0,Net Banking,2024-10-10,No,Yes
INS20067,50.0,Female,Self-employed,West,1430800.0,Life,25500.0,0.0,0.0,7.0,0.0,UPI,2024-02-09,No,Yes
INS20068,30.0,Male,Salaried,North,1315000.0,Health,17400.0,0.0,1.0,11.0,1.0,Credit Card,2024-05-16,No,Yes
INS20069,42.0,Male,Salaried,South,1011000.0,Motor,18600.0,0.0,1.0,3.0,2.0,Auto-debit,2025-01-05,No,Yes
INS20070,,Male,Salaried,South,319300.0,Health,27500.0,0.0,2.0,5.0,5.0,UPI,2023-04-09,No,Yes
INS20071,38.0,Female,Salaried,North,1504300.0,Health,18300.0,0.0,1.0,9.0,2.0,Net Banking,2025-02-22,No,Yes
INS20072,40.0,Male,Salaried,South,1101800.0,Health,43200.0,0.0,0.0,8.0,2.0,UPI,2024-06-14,No,Yes
INS20073,34.0,Male,Salaried,North,283100.0,Life,18000.0,0.0,0.0,11.0,2.0,Auto-debit,2025-02-09,No,Yes
INS20074,36.0,Female,Salaried,South,9999999.0,Health,34500.0,0.0,2.0,7.0,1.0,Auto-debit,2024-10-18,No,Yes
INS20075,30.0,Female,Salaried,South,255000.0,Health,33700.0,74800.0,1.0,11.0,1.0,UPI,2025-03-22,No,Yes
INS20076,31.0,Male,Salaried,North,215300.0,Health,25200.0,0.0,0.0,6.0,2.0,Net Banking,2019-08-25,No,Yes
INS20077,46.0,Female,Retired,North,1047200.0,Health,22000.0,0.0,0.0,1.0,2.0,Auto-debit,2025-07-18,Yes,Yes
INS20078,46.0,Male,Business,East,325800.0,Health,15500.0,0.0,0.0,2.0,2.0,UPI,2024-09-28,No,No
INS20079,18.0,Male,BUSINESS,West,793700.0,Motor,23900.0,0.0,0.0,6.0,6.0,Auto-debit,2018-10-06,No,Yes
INS20080,46.0,Male,Salaried,North,548100.0,Health,35000.0,110400.0,0.0,9.0,3.0,Credit Card,2021-09-01,No,Yes
INS20081,18.0,Male,Self-employed,North,655200.0,Health,14700.0,37400.0,1.0,4.0,2.0,UPI,2021-04-04,Yes,No
INS20082,40.0,Male,Salaried,East,626400.0,Motor,59200.0,0.0,0.0,5.0,4.0,UPI,2018-04-21,No,Yes
INS20083,,Female,Salaried,North,296300.0,Motor,51800.0,23200.0,0.0,2.0,1.0,Credit Card,2018-08-02,No,Yes
INS20084,46.0,Female,Salaried,North,845700.0,Health,29900.0,0.0,1.0,10.0,2.0,UPI,2022-12-22,No,No
INS20085,48.0,Male,Salaried,East,1215700.0,Life,37500.0,0.0,0.0,6.0,2.0,Net Banking,2018-10-26,No,Yes
INS20086,51.0,Male,Business,West,402600.0,Life,22100.0,0.0,1.0,10.0,3.0,UPI,2018-11-21,No,Yes
INS20087,41.0,Male,Salaried,South,474800.0,Travel,196000.0,0.0,0.0,10.0,0.0,UPI,2023-01-17,No,Yes
INS20088,37.0,MALE,Business,East,949000.0,Life,15000.0,0.0,0.0,4.0,2.0,Credit Card,2019-05-17,Yes,No
INS20089,44.0,Female,Salaried,North,891000.0,Motor,57000.0,0.0,1.0,10.0,0.0,UPI,2025-04-23,No,Yes
INS20090,55.0,Male,Salaried,North,643200.0,Motor,21700.0,2315947.0,0.0,3.0,3.0,Credit Card,2018-09-26,No,Yes
INS20091,33.0,Female,Self-employed,North,1059300.0,Life,14100.0,3367638.0,1.0,6.0,5.0,Credit Card,2019-03-06,No,Yes
INS20092,48.0,Male,Retired,South,452400.0,Life,39500.0,0.0,0.0,7.0,1.0,Credit Card,2024-09-16,No,Yes
INS20093,50.0,Male,Salaried,North,564700.0,Health,14400.0,0.0,0.0,12.0,3.0,Auto-debit,2023-12-15,No,Yes
INS20094,,Male,Self-employed,West,,Motor,40000.0,7900.0,0.0,8.0,1.0,Credit Card,2018-05-09,No,Yes
INS20095,48.0,Male,Salaried,South,502200.0,Health,30100.0,26200.0,0.0,8.0,1.0,Net Banking,2019-03-25,No,Yes
INS20096,30.0,Female,Self-employed,North,310300.0,Health,-1.0,0.0,0.0,2.0,0.0,Net Banking,2022-08-12,No,Yes
INS20097,20.0,Male,Salaried,West,782100.0,Motor,27200.0,0.0,0.0,11.0,2.0,Net Banking,2023-06-21,No,Yes
INS20098,24.0,Female,Self-employed,East,753800.0,Health,13300.0,0.0,2.0,11.0,0.0,Auto-debit,2020-11-22,No,Yes
INS20099,31.0,Male,Business,West,838300.0,Life,97200.0,0.0,1.0,2.0,1.0,Auto-debit,2021-11-22,No,Yes
INS20100,47.0,Male,Salaried,East,693600.0,Life,46700.0,213800.0,1.0,9.0,4.0,Net Banking,2019-06-03,No,Yes
INS20101,26.0,Male,Business,East,281900.0,Motor,47500.0,0.0,0.0,11.0,3.0,upi,2024-09-17,No,Yes
INS20102,35.0,Male,Self-employed,South,307100.0,Health,53700.0,0.0,1.0,1.0,4.0,UPI,2019-12-26,No,No
INS20103,43.0,Female,Salaried,North,1244700.0,Health,15300.0,0.0,0.0,1.0,2.0,Auto-debit,2023-07-16,No,Yes
INS20104,18.0,Female,Self-employed,West,896400.0,Health,26700.0,0.0,1.0,10.0,1.0,Auto-debit,2022-07-08,No,Yes
INS20105,35.0,Male,Self-employed,East,1318700.0,Travel,14100.0,284800.0,2.0,2.0,2.0,Auto-debit,2023-03-09,No,No
INS20106,52.0,Male,Salaried,South,359700.0,Motor,19400.0,0.0,2.0,9.0,2.0,Auto-debit,2024-03-23,No,Yes
INS20107,43.0,Female,Retired,North,952900.0,Life,25400.0,0.0,1.0,3.0,2.0,Auto-debit,2021-06-27,No,No
INS20108,52.0,Male,Self-employed,South,533000.0,Motor,15700.0,42700.0,0.0,12.0,1.0,Auto-debit,2025-01-08,No,Yes
INS20109,57.0,Male,Retired,West,300100.0,Health,11600.0,0.0,2.0,4.0,1.0,Auto-debit,2024-02-03,No,Yes
INS20110,29.0,Male,Self-employed,West,485500.0,Life,28500.0,0.0,0.0,3.0,1.0,Net Banking,2024-07-08,No,Yes
INS20111,40.0,Female,Salaried,West,365600.0,Motor,50500.0,0.0,0.0,3.0,1.0,UPI,2019-07-20,No,Yes
INS20112,36.0,Male,Self Employed ,South,315100.0,Motor,18700.0,98600.0,0.0,8.0,0.0,Credit Card,2021-08-23,Yes,No
INS20113,43.0,Male,Self-employed,East,336200.0,Travel,36700.0,0.0,0.0,7.0,3.0,Auto-debit,2023-06-21,No,Yes
INS20114,28.0,Female,Salaried,North,930000.0,Health,26100.0,17600.0,0.0,9.0,3.0,Credit Card,2018-07-11,No,Yes
INS20115,64.0,Female,Self-employed,South,1113500.0,Life,17200.0,0.0,2.0,3.0,1.0,UPI,2025-01-04,No,Yes
INS20116,54.0,Male,Retired,West,1026000.0,Health,18500.0,0.0,0.0,6.0,2.0,Credit Card,2022-09-27,Yes,No
INS20117,57.0,Male,Retired,East,788500.0,Life,17600.0,0.0,0.0,3.0,0.0,Auto-debit,2023-10-21,No,Yes
INS20118,,Male,Retired,South,420300.0,Motor,27600.0,0.0,0.0,6.0,1.0,Auto-debit,2022-04-10,No,Yes
INS20119,50.0,Female,,West,637400.0,Motor,15900.0,0.0,0.0,9.0,2.0,Net Banking,2020-01-06,No,Yes
INS20120,33.0,Female,Self-employed,East,559800.0,Life,12400.0,0.0,0.0,8.0,3.0,Net Banking,2018-12-12,Yes,No
INS20121,,Male,Salaried,West,477300.0,Motor,17600.0,36100.0,0.0,6.0,1.0,Credit Card,2024-11-07,No,Yes
INS20122,32.0,Female,Business,East,1167700.0,Health,16300.0,29100.0,0.0,10.0,2.0,Credit Card,2020-07-29,No,Yes
INS20123,25.0,Male,Business,North,466800.0,Health,33400.0,2993241.0,1.0,5.0,1.0,Credit Card,2018-12-29,No,Yes
INS20124,20.0,Male,Salaried,East ,701400.0,Health,6700.0,43200.0,1.0,4.0,0.0,UPI,06/02/2020,No,Yes
INS20125,44.0,Female,Business,West,762800.0,Travel,27100.0,0.0,0.0,9.0,2.0,Auto-debit,2021-06-22,No,Yes
INS20126,30.0,Male,Retired,South,382300.0,Life,30200.0,0.0,0.0,9.0,3.0,Net Banking,2020-06-16,No,Yes
INS20127,,Female,Salaried,South,1013800.0,Travel,25800.0,0.0,0.0,10.0,2.0,Credit Card,2024-11-17,No,Yes
INS20128,18.0,Female,Business,South,635500.0,Life,21200.0,0.0,0.0,7.0,1.0,Credit Card,2021-05-02,No,Yes
INS20129,39.0,Female,Business,East,,Life,12800.0,0.0,0.0,9.0,0.0,Credit Card,2025-07-23,No,Yes
INS20130,33.0,Female,Self-employed,South,491100.0,Life,60800.0,0.0,2.0,9.0,2.0,Credit Card,2024-05-26,Yes,No
INS20131,37.0,Male,SALARIED,South,957700.0,Motor,19800.0,29400.0,0.0,8.0,2.0,Auto-debit,2019-11-21,No,Yes
INS20132,33.0,Male,Salaried,North,335400.0,Motor,19700.0,0.0,1.0,12.0,2.0,Auto-debit,2018-06-18,No,Yes
INS20133,41.0,Male,Salaried,West,1014900.0,Life,30500.0,40100.0,0.0,10.0,0.0,Auto-debit,2019-02-12,No,Yes
INS20134,22.0,Female,Self-employed,West,611400.0,Motor,25800.0,0.0,1.0,9.0,3.0,Auto-debit,2023-04-29,No,Yes
INS20135,145.0,FEMALE,Retired,South,209500.0,Health,17400.0,0.0,2.0,12.0,2.0,UPI,2023-10-30,No,Yes
INS20136,,Male,Business,East,1252800.0,Life,25300.0,0.0,5.0,9.0,2.0,UPI,2021-02-27,No,Yes
INS20137,48.0,Male,Business,South,187000.0,Motor,16500.0,0.0,0.0,8.0,1.0,auto debit,2024-04-10,No,Yes
INS20138,28.0,Male,Salaried,West,,Health,30300.0,166300.0,1.0,3.0,2.0,Auto-debit,2024-10-14,No,Yes
INS20139,32.0,Female,Business,South,361400.0,Motor,39300.0,0.0,0.0,3.0,2.0,Credit Card,2022-03-09,No,Yes
INS20140,27.0,Male,,East,2054100.0,Health,26900.0,0.0,0.0,2.0,0.0,Auto-debit,2024-04-12,No,Yes
INS20141,41.0,Female,Salaried,East,,Motor,13100.0,0.0,0.0,6.0,0.0,Net Banking,2025-07-22,No,Yes
INS20142,43.0,Female,Business,South,1623400.0,Life,16900.0,0.0,0.0,3.0,0.0,Auto-debit,2025-01-03,No,Yes
INS20143,47.0,Female,Salaried,West,349600.0,Motor,18800.0,25600.0,1.0,6.0,0.0,Auto-debit,2021-06-11,No,Yes
INS20144,18.0,Male,Salaried,North,2008400.0,Health,17900.0,0.0,0.0,9.0,0.0,Auto-debit,2023-10-09,No,Yes
INS20145,31.0,Male,Self-employed,South,771700.0,Motor,13600.0,20700.0,1.0,10.0,0.0,UPI,2021-04-18,No,Yes
INS20146,18.0,Female,Salaried,South,,Motor,32100.0,0.0,2.0,6.0,1.0,UPI,2024-03-07,Yes,Yes
INS20147,35.0,Male,Salaried,North,2113900.0,Health,32100.0,0.0,0.0,9.0,2.0,Auto-debit,2021-02-18,No,Yes
INS20148,47.0,Female,Self-employed,North,9999999.0,Health,25400.0,0.0,0.0,5.0,2.0,UPI,2021-08-22,No,Yes
INS20149,23.0,Male,Salaried,South,9999999.0,Motor,38200.0,0.0,0.0,10.0,1.0,Net Banking,2022-09-27,No,Yes
INS20150,22.0,Female,Salaried,West,405300.0,Health,13500.0,0.0,3.0,1.0,3.0,Net Banking,2023-03-19,Yes,No
INS20151,51.0,Male,Business,South,548000.0,Life,21600.0,13000.0,0.0,7.0,0.0,Auto-debit,2020-06-17,No,Yes
INS20152,29.0,Male,Retired,East,791600.0,Motor,12900.0,0.0,2.0,6.0,0.0,UPI,2023-07-10,No,Yes
INS20153,,Female,Salaried,West,972400.0,Motor,12200.0,0.0,0.0,1.0,0.0,UPI,2024-04-29,No,Yes
INS20154,66.0,Female,Salaried,North,515300.0,Health,13700.0,0.0,0.0,2.0,1.0,Auto-debit,2022-05-24,No,Yes
INS20155,53.0,Female,Self-employed,East,609900.0,Motor,31300.0,45600.0,1.0,10.0,2.0,Net Banking,2024-09-08,No,Yes
INS20156,35.0,Male,Salaried,North,,Life,30000.0,0.0,1.0,9.0,2.0,Auto-debit,2023-12-28,No,Yes
INS20157,55.0,Female,Salaried,South,832100.0,Life,17000.0,127800.0,1.0,10.0,0.0,Net Banking,2022-06-14,Yes,No
INS20158,61.0,Male,Self-employed,South,547600.0,Motor,21900.0,0.0,1.0,11.0,1.0,UPI,2021-06-12,No,Yes
INS20159,38.0,Male,Retired,South,546600.0,Life,29700.0,76100.0,1.0,7.0,3.0,UPI,2024-02-09,No,Yes
INS20160,40.0,F,Salaried,South,1062900.0,Motor,34600.0,0.0,0.0,8.0,1.0,Auto-debit,2020-10-03,No,Yes
INS20161,31.0,Male,Self-employed,North,1308200.0,Motor,,0.0,0.0,6.0,1.0,Auto-debit,2019-01-06,No,Yes
INS20162,55.0,Male,Salaried,West,875600.0,Motor,42400.0,0.0,0.0,7.0,0.0,Auto-debit,2018-01-29,Yes,No
INS20163,39.0,Male,Self-employed,East,1066500.0,Health,19900.0,0.0,0.0,5.0,4.0,Credit Card,2025-07-24,No,Yes
INS20164,30.0,Female,Business,South,791800.0,Health,21000.0,7800.0,1.0,7.0,2.0,Auto-debit,2018-12-02,No,Yes
INS20165,27.0,Female,Retired,East,743500.0,Health,44500.0,0.0,0.0,11.0,0.0,Credit Card,2023-07-03,No,Yes
INS20166,47.0,Female,Salaried,South,921900.0,Motor,23100.0,0.0,1.0,2.0,3.0,Auto-debit,2019-03-31,No,Yes
INS20167,37.0,Female,Salaried,South,912500.0,Life,29800.0,0.0,0.0,5.0,3.0,Auto-debit,2020-08-07,Yes,No
INS20168,41.0,Male,Salaried,North,490800.0,Health,10100.0,0.0,1.0,9.0,1.0,UPI,2018-03-31,No,Yes
INS20169,28.0,Male,Salaried,East,,Life,26200.0,11100.0,1.0,12.0,0.0,Net Banking,2021-04-12,No,Yes
INS20170,43.0,Female,Salaried,North,353000.0,Life,41200.0,0.0,1.0,5.0,0.0,Auto-debit,21-Mar-2021,No,Yes
INS20171,22.0,Female,Salaried,East,686600.0,Health,31200.0,0.0,0.0,8.0,2.0,Net Banking,2025-06-05,Yes,No
INS20172,31.0,Female,Salaried,East,501900.0,Motor,22200.0,0.0,1.0,2.0,1.0,UPI,2019-10-11,No,Yes
INS20173,43.0,Male,Salaried,South,1176700.0,Life,10500.0,0.0,0.0,8.0,0.0,Net Banking,2018-02-02,No,Yes
INS20174,33.0,Female,Salaried,South,,Life,8800.0,0.0,2.0,12.0,3.0,Auto-debit,2022-10-31,No,Yes
INS20175,39.0,Male,Salaried,West,1219900.0,Motor,23500.0,0.0,1.0,11.0,0.0,Net Banking,2018-12-24,No,No
INS20176,30.0,Female,Business,West,906900.0,Life,34000.0,0.0,0.0,4.0,1.0,UPI,2018-06-20,No,Yes
INS20177,18.0,Male,Business,West,2332300.0,Life,28200.0,39600.0,0.0,1.0,1.0,Auto-debit,2022-01-28,No,Yes
INS20178,42.0,Male,Self-employed,East,925700.0,Health,25200.0,0.0,0.0,5.0,3.0,Credit Card,2024-05-20,No,Yes
INS20179,26.0,Male,Salaried,SOUTH,687700.0,Health,23400.0,0.0,0.0,2.0,0.0,Auto-debit,2019-03-10,No,Yes
INS20180,31.0,Female,Self-employed,South,960400.0,Life,18600.0,100200.0,0.0,1.0,4.0,UPI,2019-03-07,No,Yes
INS20181,38.0,Female,Salaried,West,612300.0,Travel,,0.0,0.0,10.0,1.0,UPI,2020-05-02,No,Yes
INS20182,36.0,Female,Self-employed,West,1698600.0,Motor,14300.0,0.0,2.0,7.0,2.0,UPI,2019-12-08,No,Yes
INS20183,21.0,Male,Salaried,West,862100.0,Life,25100.0,98400.0,0.0,9.0,1.0,Auto-debit,2018-01-30,No,Yes
INS20184,24.0,Male,Retired,North,890600.0,Travel,20400.0,0.0,0.0,4.0,1.0,Auto-debit,2022-04-20,No,Yes
INS20185,59.0,Female,Salaried,North,3303100.0,Motor,14100.0,49100.0,0.0,12.0,3.0,Auto-debit,2024-10-24,No,Yes
INS20186,37.0,Female,Salaried,North,383300.0,Motor,50100.0,0.0,2.0,9.0,1.0,Auto-debit,2022-09-04,No,Yes
INS20187,27.0,Female,Salaried,North,1297300.0,Life,14100.0,0.0,1.0,8.0,1.0,Net Banking,2025-03-11,No,Yes
INS20188,70.0,Male,Self-employed,West,672700.0,Health,10700.0,58900.0,2.0,1.0,1.0,UPI,2020-11-07,No,Yes
INS20189,27.0,Male,Salaried,West,215900.0,Life,36300.0,154000.0,0.0,10.0,0.0,Net Banking,2019-05-10,No,Yes
INS20190,46.0,Male,Self-employed,East,381100.0,Life,17100.0,69700.0,0.0,9.0,0.0,UPI,2018-09-25,No,Yes
INS20191,40.0,Male,self employed,West,793400.0,Life,32600.0,0.0,0.0,7.0,2.0,Auto-debit,2018-06-27,No,Yes
INS20192,54.0,Male,Self-employed,South,371200.0,Life,39200.0,0.0,0.0,5.0,0.0,Net Banking,2018-06-10,No,Yes
INS20193,32.0,M,Self-employed,South,770200.0,Health,13100.0,0.0,0.0,12.0,0.0,UPI,2020-11-11,Yes,Yes
INS20194,68.0,Male,Self-employed,,1126600.0,Travel,15000.0,62400.0,2.0,2.0,1.0,UPI,2019-09-02,Yes,Yes
INS20195,50.0,Male,Salaried,North,2498000.0,Health,14700.0,0.0,3.0,3.0,3.0,Auto-debit,2018-11-19,No,Yes
INS20196,35.0,Female,Business,North,408000.0,Motor,25800.0,0.0,0.0,7.0,0.0,Net Banking,2020-01-23,No,Yes
INS20197,48.0,Male,,West,639800.0,Life,40000.0,0.0,0.0,4.0,2.0,UPI,07/02/2025,Yes,No
INS20198,46.0,Female,Self-employed,South,,Health,13800.0,0.0,0.0,2.0,2.0,,2025-03-12,No,Yes
INS20199,33.0,Male,Business,South,338400.0,Health,18200.0,0.0,0.0,8.0,2.0,,2020-03-02,No,Yes
INS20200,36.0,Female,Retired,West,855800.0,Travel,22500.0,0.0,2.0,11.0,0.0,,2023-07-29,No,Yes
INS20201,37.0,Female,Salaried,,257500.0,Life,21600.0,59100.0,0.0,8.0,3.0,Auto-debit,2020-05-06,No,Yes
INS20202,,Male,Salaried,South,661400.0,Health,62600.0,0.0,0.0,2.0,0.0,Credit Card,2024-09-03,No,Yes
INS20203,39.0,Female,Self-employed,North,239100.0,Health,19100.0,83000.0,0.0,2.0,0.0,Credit Card,2021-05-05,No,Yes
INS20204,38.0,Male,Salaried,,456800.0,Life,21700.0,0.0,0.0,3.0,1.0,NetBanking,2025-05-23,No,No
INS20205,45.0,Male,Salaried,East,490700.0,Health,37600.0,0.0,2.0,1.0,2.0,Credit Card,2024-06-23,No,Yes
