Col 1,col 2,col 3,col 4,normalized column 1
1737,566,456632,0.003803938,0.08028137561411344
7664,151,977123,0.007843434,0.7420723537293434
4277,331,984901,0.004342568,0.3638901295221081
5286,561,227591,0.023225874,0.47655203215721303
5473,70,420826,0.013005375,0.4974318892362662
2588,346,687979,0.003761743,0.1753014738722644
2863,172,602072,0.004755245,0.20600714604734258
7607,574,332040,0.02290989,0.7357079053148727
2174,130,606495,0.003584531,0.12907548012505582
9854,293,885918,0.011122926,0.9866011612326931
2002,57,637978,0.003138039,0.10987047789191604
5521,378,785463,0.007028975,0.5027914247431889
5801,330,77708,0.074651259,0.5340553818669048
5903,171,233871,0.02524041,0.5454443948191157
8433,153,89179,0.094562621,0.8279365788298347
7196,114,973399,0.007392652,0.6898168825368468
5750,182,40822,0.140855421,0.5283608753907995
8848,456,683741,0.012940573,0.8742742295667709
8686,117,108037,0.080398382,0.8561857972309067
4894,193,615745,0.007948095,0.4327824921840107
2305,483,279621,0.008243301,0.14370254577936578
3762,245,896944,0.004194242,0.30638677981241624
3620,34,107667,0.033622187,0.2905314872711032
6688,219,643087,0.010399837,0.6330951317552479
2358,518,558758,0.004220074,0.1496203662349263
1560,216,695126,0.002244197,0.060518088432335866
1991,534,379741,0.005243047,0.10864225100491291
2656,363,360875,0.007359889,0.18289414917373828
9729,585,536961,0.018118634,0.9726440375167485
1306,464,443348,0.002945767,0.0321572130415364
7082,78,68892,0.102798583,0.6770879857079053
5117,367,849665,0.006022374,0.4576820008932559
2236,174,368557,0.006066904,0.13599821348816435
8065,564,554333,0.014549017,0.7868468066100938
7551,486,735134,0.010271597,0.7294551138901295
2414,522,966697,0.002497163,0.1558731576596695
5673,299,380246,0.014919289,0.5197632871817776
7546,300,211173,0.035733735,0.7288968289414918
5392,430,691117,0.007801863,0.4883876730683341
7655,142,93471,0.081897059,0.7410674408217954
2943,499,611393,0.004813598,0.21493970522554712
4342,240,663436,0.006544716,0.3711478338543993
3582,533,566631,0.006321574,0.286288521661456
4294,451,477561,0.008991522,0.36578829834747656
3011,270,783574,0.003842649,0.22253238052702098
5546,436,601207,0.009224776,0.5055828494863779
8852,192,671070,0.013190874,0.8747208575256811
6745,364,742010,0.009090174,0.6394595801697186
4500,575,896607,0.005018921,0.38878963823135326
4536,44,68476,0.066242187,0.39280928986154534
3843,522,720381,0.005334677,0.31543099598034835
7961,203,707430,0.01125341,0.7752344796784278
2151,72,587871,0.003658966,0.126507369361322
3420,519,950489,0.003598148,0.2682000893255918
5405,362,937558,0.005764977,0.4898392139347923
3693,378,875818,0.004216629,0.2986824475212148
1554,226,463056,0.003355966,0.05984814649397052
5579,523,496579,0.011234869,0.5092675301473872
6268,545,742111,0.008446176,0.586199196069674
1182,468,185082,0.006386358,0.01831174631531934
7343,80,522334,0.014058055,0.7062304600267977
2496,496,355911,0.007012989,0.16502903081732917
1082,96,76055,0.014226547,0.007146047342563644
1062,424,359577,0.00295347,0.004912907548012505
2785,435,409913,0.006794125,0.1972979008485931
2135,118,564044,0.003785166,0.12472085752568111
8590,146,589694,0.014566877,0.8454667262170612
1915,334,495294,0.00386639,0.10015631978561858
5222,311,773170,0.006754013,0.4694059848146494
6607,132,523628,0.012617736,0.6240509155873157
3422,109,832699,0.004109528,0.2684234033050469
5761,416,160218,0.035957258,0.5295891022778025
9702,399,421017,0.0230442,0.9696292987941045
4813,531,633224,0.007600786,0.4237382760160786
5471,437,97668,0.0560163,0.49720857525681106
