longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.3,37.8,46.0,935.0,297.0,582.0,277.0,1.8,95200
-122.3,37.8,49.0,844.0,204.0,560.0,152.0,1.8,75000
-122.3,37.8,46.0,12.0,4.0,18.0,7.0,0.5,67500
-122.3,37.8,20.0,835.0,161.0,290.0,133.0,2.5,137500
-122.3,37.8,17.0,1237.0,462.0,762.0,439.0,0.9,177500
-122.3,37.8,36.0,2914.0,562.0,1236.0,509.0,2.4,102100
-122.3,37.8,19.0,1207.0,243.0,721.0,207.0,1.1,108300
-122.3,37.8,23.0,2127.0,374.0,1054.0,325.0,0.8,112500
-122.3,37.8,38.0,684.0,176.0,344.0,155.0,2.0,131300
-122.3,37.8,17.0,924.0,289.0,609.0,289.0,1.5,162500
-122.3,37.8,52.0,2127.0,56.0,183.0,56.0,1.2,112500
-122.3,37.8,52.0,340.0,97.0,200.0,87.0,1.5,112500
-122.3,37.8,52.0,386.0,164.0,346.0,155.0,0.8,137500
-122.3,37.8,35.0,948.0,184.0,467.0,169.0,1.8,118800
-122.3,37.8,52.0,773.0,143.0,377.0,115.0,2.4,98200
-122.3,37.8,40.0,880.0,451.0,582.0,380.0,1.6,118800
-122.3,37.8,10.0,875.0,348.0,546.0,330.0,0.8,162500
-122.3,37.8,10.0,105.0,42.0,125.0,39.0,1.0,137500
-122.3,37.8,52.0,249.0,78.0,396.0,85.0,1.2,500001
-122.3,37.8,16.0,994.0,392.0,800.0,362.0,2.1,162500
-122.3,37.8,52.0,215.0,87.0,904.0,88.0,0.9,137500
-122.3,37.8,52.0,96.0,31.0,191.0,34.0,0.8,162500
-122.3,37.8,27.0,1055.0,347.0,718.0,302.0,1.3,187500
-122.3,37.8,39.0,1715.0,623.0,1327.0,467.0,1.8,179200
-122.3,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0,130000
-122.3,37.8,31.0,4596.0,1331.0,2048.0,1180.0,2.8,183800
-122.3,37.8,29.0,335.0,107.0,202.0,91.0,2.0,125000
-122.3,37.8,22.0,3682.0,1270.0,2024.0,1250.0,1.2,170000
-122.3,37.8,37.0,3633.0,1085.0,1838.0,980.0,2.6,193100
-122.2,37.8,29.0,4656.0,1414.0,2304.0,1250.0,2.5,257800
-122.2,37.8,28.0,5806.0,1603.0,2563.0,1497.0,3.2,273400
-122.2,37.8,39.0,854.0,242.0,389.0,228.0,3.1,237500
-122.2,37.8,28.6,2155.0,701.0,895.0,613.0,2.6,350000
-122.3,37.8,34.0,5871.0,1914.0,2689.0,1789.0,3.8,335700
-122.2,37.8,52.0,1509.0,225.0,674.0,244.0,4.9,313400
-122.2,37.8,52.0,2026.0,482.0,709.0,456.0,3.3,268500
-122.2,37.8,52.0,1758.0,616.5,686.0,422.0,3.2,259400
-122.2,37.8,52.0,3481.0,751.0,1444.0,718.0,3.9,275700
-122.2,37.8,28.0,3337.0,855.0,1520.0,802.0,3.9,225000
-122.2,37.8,52.0,1424.0,289.0,550.0,253.0,5.1,262500
-122.2,37.8,32.0,3809.0,1098.0,1806.0,1022.0,2.6,218500
-122.2,37.8,26.0,3959.0,1196.0,1749.0,1217.0,3.0,255000
-122.2,37.8,52.0,2376.0,559.0,939.0,519.0,3.1,224100
-122.2,37.8,35.0,1613.0,428.0,675.0,422.0,3.5,243100
-122.2,37.8,52.0,1279.0,287.0,534.0,291.0,2.9,231600
-122.2,37.8,28.0,5022.0,1750.0,2558.0,1661.0,2.4,218500
-122.2,37.8,52.0,4190.0,1105.0,1786.0,1037.0,3.1,234100
-122.2,37.8,50.0,2515.0,399.0,970.0,373.0,4.0,327600
-122.2,37.8,47.0,3175.0,454.0,1098.0,485.0,5.0,347600
-122.2,37.8,41.0,2576.0,406.0,794.0,376.0,6.0,366100
-122.2,37.8,37.0,334.0,54.0,98.0,47.0,5.0,335000
-122.2,37.8,52.0,2127.0,411.0,1061.0,403.0,6.3,373600
-122.2,37.8,52.0,3529.0,574.0,1177.0,555.0,5.2,389500
-122.2,37.8,52.0,2612.0,365.0,901.0,367.0,7.2,391100
-122.2,37.8,28.0,5287.0,1048.0,2031.0,956.0,5.5,337300
-122.2,37.8,50.0,2935.0,473.0,1031.0,479.0,7.5,295200
-122.2,37.8,44.0,3424.0,597.0,1358.0,597.0,6.0,292300
-122.2,37.8,40.0,4991.0,674.0,1616.0,654.0,7.6,411500
-122.2,37.8,30.0,2211.0,346.0,844.0,343.0,6.1,311500
-122.2,37.8,34.0,3038.0,490.0,1140.0,496.0,7.1,325900
-122.2,37.8,18.0,1617.0,210.0,533.0,194.0,11.6,392600
-122.2,37.8,35.0,2865.0,460.0,1072.0,443.0,7.5,319300
-122.2,37.8,34.0,5065.0,788.0,1000.0,766.0,6.9,333300
-122.2,37.8,28.0,1326.0,184.0,463.0,190.0,8.2,335200
-122.2,37.8,26.0,1589.0,223.0,542.0,211.0,8.4,351200
-122.2,37.8,29.0,1791.0,271.0,661.0,269.0,6.9,368900
-122.2,37.8,32.0,1835.0,264.0,635.0,263.0,8.3,365900
-122.2,37.8,37.0,1229.0,181.0,420.0,176.0,7.0,366700
-122.2,37.8,39.0,3770.0,534.0,1265.0,500.0,6.3,362800
-122.2,37.8,30.0,292.0,38.0,126.0,52.0,6.4,483300
-122.2,37.8,52.0,2375.0,333.0,813.0,350.0,7.1,331400
-122.2,37.8,45.0,2964.0,436.0,1067.0,426.0,6.8,323500
-122.2,37.8,50.0,2833.0,605.0,1260.0,552.0,2.9,216700
-122.2,37.8,38.0,2254.0,535.0,951.0,487.0,3.1,233100
-122.2,37.8,52.0,1389.0,212.0,510.0,224.0,5.2,296400
-122.2,37.8,52.0,1971.0,335.0,765.0,308.0,6.5,273700
-122.2,37.8,52.0,2183.0,465.0,1129.0,460.0,3.3,227700
-122.2,37.8,52.0,2286.0,464.0,1073.0,441.0,3.0,199600
-122.2,37.8,52.0,2721.0,541.0,1185.0,515.0,4.5,239800
-122.2,37.8,52.0,2024.0,339.0,756.0,340.0,4.1,270100
-122.2,37.8,52.0,2944.0,536.0,1034.0,521.0,5.4,302100
-122.2,37.8,52.0,2033.0,486.0,787.0,459.0,3.2,269500
-122.2,37.8,52.0,1433.0,229.0,612.0,213.0,4.8,314700
-122.2,37.8,52.0,2927.0,402.0,1021.0,380.0,8.2,390100
-122.2,37.8,52.0,2315.0,292.0,861.0,258.0,8.9,410300
-122.2,37.8,52.0,2485.0,313.0,953.0,327.0,6.9,352400
-122.2,37.8,52.0,1490.0,238.0,634.0,256.0,6.0,287300
-122.2,37.8,52.0,2814.0,365.0,878.0,352.0,7.5,348700
-122.2,37.8,52.0,2093.0,550.0,918.0,483.0,2.7,243800
-122.2,37.8,52.0,888.0,168.0,360.0,175.0,2.2,211500
-122.2,37.8,52.0,2087.0,510.0,1197.0,488.0,3.0,218400
-122.2,37.8,52.0,2513.0,502.0,1048.0,518.0,3.7,269900
-122.2,37.8,46.0,3232.0,835.0,1373.0,747.0,3.2,218800
-122.2,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9,225000
-122.2,37.8,43.0,2364.0,792.0,1359.0,722.0,2.1,250000
-122.2,37.8,41.0,1471.0,469.0,1062.0,413.0,1.6,171400
-122.2,37.8,29.0,2468.0,864.0,1335.0,773.0,1.4,193800
-122.2,37.8,27.0,1632.0,492.0,1171.0,429.0,2.3,125000
-122.2,37.8,45.0,1786.0,526.0,1475.0,460.0,1.8,97500
-122.2,37.8,50.0,629.0,188.0,1000.0,196.0,2.6,125000
-122.2,37.8,52.0,1339.0,391.0,1086.0,363.0,2.2,138800
-122.2,37.8,36.0,1678.0,606.0,1645.0,543.0,1.9,116700
-122.2,37.8,43.0,2344.0,647.0,1710.0,644.0,1.7,151800
-122.2,37.8,52.0,996.0,228.0,731.0,228.0,2.3,127000
-122.2,37.8,52.0,1591.0,373.0,1118.0,347.0,2.2,128600
-122.2,37.8,52.0,1586.0,398.0,1006.0,335.0,2.1,140600
-122.2,37.8,47.0,2046.0,588.0,1213.0,554.0,2.6,182700
-122.2,37.8,52.0,1192.0,289.0,772.0,257.0,2.4,146900
-122.2,37.8,52.0,1803.0,420.0,1321.0,401.0,3.0,122800
-122.2,37.8,49.0,2838.0,749.0,1487.0,677.0,2.5,169300
-122.2,37.8,52.0,783.0,184.0,488.0,186.0,1.9,126600
-122.2,37.8,51.0,1590.0,414.0,949.0,392.0,1.9,127900
-122.2,37.8,50.0,1746.0,480.0,1149.0,415.0,2.2,123500
-122.2,37.8,52.0,1252.0,299.0,844.0,280.0,2.4,111900
-122.2,37.8,43.0,5963.0,1344.0,4367.0,1231.0,2.2,112800
-122.2,37.8,52.0,1783.0,395.0,1659.0,412.0,2.9,107900
-122.2,37.8,30.0,999.0,264.0,1011.0,263.0,1.9,137500
-122.2,37.8,39.0,1469.0,431.0,1464.0,389.0,2.2,105500
-122.2,37.8,47.0,1372.0,395.0,1237.0,303.0,2.1,95500
-122.2,37.8,52.0,674.0,180.0,647.0,168.0,3.4,116100
-122.2,37.8,43.0,1626.0,376.0,1284.0,357.0,2.3,112200
-122.2,37.8,51.0,175.0,252.5,228.0,55.0,2.1,75000
-122.2,37.8,39.0,461.0,129.0,381.0,123.0,1.6,112500
-122.2,37.8,52.0,902.0,237.0,846.0,227.0,3.6,125000
-122.3,37.8,20.0,2373.0,779.0,1659.0,676.0,1.7,115000
-122.2,37.8,52.0,391.0,128.0,520.0,138.0,1.6,95000
-122.2,37.8,52.0,1137.0,301.0,866.0,259.0,2.6,96400
-122.2,37.8,52.0,769.0,206.0,612.0,183.0,2.6,72000
-122.2,37.8,52.0,472.0,146.0,415.0,126.0,2.6,71300
-122.2,37.8,52.0,862.0,215.0,994.0,213.0,3.0,80800
-122.2,37.8,50.0,1920.0,530.0,1525.0,477.0,1.5,128800
-122.2,37.8,43.0,1420.0,472.0,1506.0,438.0,1.9,112500
-122.2,37.8,52.0,986.0,258.0,1008.0,255.0,1.5,119400
-122.2,37.8,44.0,2340.0,825.0,2813.0,751.0,1.6,118100
-122.2,37.8,48.0,1696.0,396.0,1481.0,343.0,2.0,122500
-122.2,37.8,49.0,1175.0,217.0,859.0,219.0,2.3,106300
-122.2,37.8,37.0,2343.0,574.0,1608.0,523.0,2.1,132500
-122.2,37.8,30.0,610.0,145.0,425.0,140.0,1.6,122700
-122.2,37.8,40.0,930.0,199.0,564.0,184.0,1.3,113300
-122.2,37.8,44.0,1487.0,444.5,1000.0,272.0,3.5,109500
-122.2,37.8,52.0,3424.0,690.0,2273.0,685.0,3.9,164700
-122.2,37.8,52.0,762.0,190.0,600.0,195.0,3.1,125000
-122.2,37.8,46.0,2366.0,575.0,1647.0,527.0,2.6,124700
-122.2,37.8,49.0,1826.0,450.0,1201.0,424.0,2.5,136700
-122.2,37.8,38.0,3049.0,711.0,2167.0,659.0,2.8,141700
-122.2,37.8,29.0,1640.0,376.0,939.0,340.0,2.8,150000
-122.2,37.8,47.0,1543.0,307.0,859.0,292.0,3.0,138800
-122.2,37.8,34.0,2364.0,557.0,1517.0,516.0,2.8,139200
-122.2,37.8,35.0,1745.0,409.0,1143.0,386.0,2.9,143800
-122.2,37.8,39.0,2003.0,500.0,1109.0,464.0,3.1,156500
-122.2,37.8,39.0,2018.0,447.0,1221.0,446.0,3.1,151000
-122.2,37.8,43.0,3045.0,499.0,1115.0,455.0,5.0,273000
-122.2,37.8,52.0,1547.0,293.0,706.0,268.0,4.8,217100
-122.2,37.8,52.0,3519.0,711.0,1883.0,706.0,3.5,187100
-122.2,37.8,41.0,2070.0,354.0,804.0,340.0,5.1,239600
-122.2,37.8,48.0,1321.0,263.0,506.0,252.0,4.1,229700
-122.2,37.8,48.0,1694.0,259.0,610.0,238.0,4.7,257300
-122.2,37.8,46.0,1938.0,341.0,768.0,332.0,4.3,246900
-122.2,37.8,50.0,968.0,195.0,462.0,184.0,3.0,179900
-122.2,37.8,40.0,1060.0,256.0,667.0,291.5,4.2,169600
-122.2,37.8,46.0,2041.0,263.5,1059.0,399.0,3.8,203300
-122.2,37.8,52.0,1813.0,271.0,637.0,277.0,4.0,263400
-122.2,37.8,45.0,2718.0,451.0,1106.0,454.0,4.7,231800
-122.2,37.8,28.0,3144.0,761.0,1737.0,669.0,2.9,140500
-122.2,37.8,35.0,1802.0,459.0,1009.0,390.0,2.3,126000
-122.2,37.8,49.0,882.0,195.0,737.0,210.0,2.7,122000
-122.2,37.8,44.0,1621.0,452.0,1354.0,491.0,2.6,134700
-122.2,37.8,45.0,2115.0,533.0,1530.0,474.0,2.4,139400
-122.2,37.8,45.0,2021.0,528.0,1410.0,480.0,2.8,115400
-122.2,37.8,46.0,2239.0,508.0,1390.0,569.0,2.7,137300
-122.2,37.8,52.0,1477.0,300.0,1065.0,269.0,1.8,137000
-122.2,37.8,52.0,1056.0,224.0,792.0,245.0,2.7,142600
-122.2,37.8,49.0,898.0,244.0,779.0,245.0,3.1,137500
-122.2,37.8,44.0,2968.0,710.0,2269.0,610.0,2.4,111700
-122.2,37.8,43.0,1702.0,460.0,1227.0,407.0,1.7,126800
-122.2,37.8,47.0,881.0,248.0,753.0,241.0,2.6,111300
-122.2,37.8,40.0,494.0,360.5,547.0,135.0,2.8,114800
-122.2,37.8,50.0,1776.0,473.0,1807.0,440.0,1.7,102300
-122.2,37.8,44.0,1678.0,514.0,1700.0,495.0,2.1,131900
-122.2,37.8,51.0,1637.0,463.0,1543.0,393.0,2.5,119100
-122.2,37.8,52.0,1420.0,314.0,1000.0,300.0,1.8,80600
-122.2,37.8,52.0,591.0,173.0,353.0,137.0,4.1,80600
-122.2,37.8,52.0,745.0,153.0,473.0,149.0,2.7,88800
-122.2,37.8,49.0,2272.0,498.0,1621.0,483.0,2.4,102400
-122.2,37.8,46.0,1234.0,375.0,1183.0,354.0,2.3,98700
-122.2,37.8,43.0,1017.0,328.0,836.0,277.0,2.3,100000
-122.2,37.8,42.0,932.0,254.0,900.0,263.0,1.8,92300
-122.2,37.8,39.0,2689.0,597.0,1888.0,537.0,2.3,94800
-122.2,37.8,41.0,1547.0,415.0,1024.0,341.0,2.1,102000
-122.2,37.8,52.0,2300.0,443.0,1225.0,423.0,3.5,158400
-122.2,37.8,39.0,1752.0,399.0,1071.0,376.0,3.0,121600
-122.2,37.8,50.0,1867.0,403.0,1128.0,378.0,2.5,129100
-122.2,37.8,43.0,2430.0,502.0,1537.0,484.0,2.9,121400
-122.2,37.8,44.0,1729.0,414.0,1240.0,393.0,2.3,102800
-122.2,37.8,52.0,1026.0,180.0,469.0,168.0,2.9,160000
-122.2,37.8,52.0,2170.0,428.0,1086.0,425.0,3.4,143900
-122.2,37.8,52.0,2329.0,445.0,1144.0,417.0,3.5,151200
-122.2,37.8,52.0,2492.0,415.0,1109.0,375.0,3.4,164400
-122.2,37.8,52.0,2198.0,397.0,984.0,369.0,3.2,156500
-122.2,37.8,33.0,142.0,31.0,575.0,47.0,3.9,225000
-122.2,37.8,49.0,1183.0,205.0,496.0,209.0,5.2,174200
-122.2,37.8,52.0,1070.0,193.0,555.0,190.0,3.7,166900
-122.2,37.8,45.0,1766.0,332.0,869.0,327.0,4.6,163500
-122.2,37.8,39.0,617.0,95.0,236.0,106.0,5.3,253000
-122.2,37.8,41.0,1411.0,233.0,626.0,214.0,7.1,240700
-122.2,37.8,46.0,2109.0,387.0,922.0,329.0,4.0,208100
-122.2,37.8,47.0,1229.0,243.0,582.0,256.0,3.0,198100
-122.2,37.8,50.0,954.0,217.0,1000.0,201.0,2.7,172800
-122.2,37.8,37.0,1643.0,262.0,620.0,266.0,5.4,336700
-122.2,37.8,34.0,1355.0,195.0,442.0,195.0,6.3,318200
-122.2,37.8,23.0,2317.0,336.0,955.0,328.0,6.8,285800
-122.1,37.8,24.0,2459.0,317.0,916.0,324.0,7.1,293000
-122.2,37.8,22.0,12842.0,2048.0,4985.0,1967.0,6.0,371000
-122.2,37.8,42.0,1524.0,260.0,651.0,267.0,3.7,157300
-122.2,37.8,30.0,3326.0,746.0,1704.0,703.0,2.9,135300
-122.2,37.8,43.0,1985.0,440.0,1085.0,407.0,3.1,136700
-122.2,37.8,50.0,1642.0,322.0,713.0,284.0,3.3,160700
-122.2,37.8,49.0,893.0,177.0,468.0,181.0,3.9,140600
-122.2,37.8,52.0,653.0,128.0,296.0,121.0,4.2,144000
-122.2,37.8,47.0,1256.0,161.0,570.0,218.0,4.4,161900
-122.2,37.8,48.0,977.0,194.0,446.0,180.0,4.8,156300
-122.2,37.8,45.0,2324.0,397.0,968.0,384.0,3.6,176000
-122.2,37.8,39.0,1583.0,349.0,857.0,316.0,3.1,145800
-122.2,37.8,39.0,2127.0,342.0,912.0,322.0,3.4,141900
-122.2,37.8,31.0,2424.0,533.0,1360.0,452.0,1.9,90700
-122.2,37.8,41.0,1594.0,367.0,1074.0,355.0,1.9,90600
-122.2,37.8,47.0,2118.0,413.0,965.0,382.0,2.2,107900
-122.2,37.8,37.0,1575.0,358.0,933.0,320.0,2.3,107000
-122.2,37.8,38.0,1764.0,397.0,987.0,354.0,2.4,98200
-122.2,37.8,50.0,1187.0,261.0,907.0,246.0,1.9,89500
-122.2,37.8,52.0,754.0,175.0,447.0,165.0,3.9,93800
-122.2,37.8,49.0,2308.0,452.0,1299.0,451.0,1.8,96700
-122.2,37.8,27.0,909.0,236.0,396.0,157.0,2.1,97500
-122.2,37.8,42.0,1180.0,257.0,877.0,268.0,2.8,97300
-122.2,37.8,43.0,2018.0,408.0,1000.0,367.0,1.9,91200
-122.2,37.8,49.0,1368.0,282.0,790.0,269.0,1.7,91400
-122.2,37.8,52.0,2744.0,547.0,1479.0,554.0,2.3,96200
-122.2,37.8,51.0,2107.0,471.0,1173.0,438.0,3.3,120100
-122.2,37.8,52.0,1748.0,362.0,1029.0,366.0,2.1,100000
-122.2,37.8,52.0,2024.0,391.0,1030.0,350.0,2.5,94700
-122.2,37.8,47.0,1116.0,259.0,826.0,279.0,1.8,85700
-122.2,37.8,41.0,2036.0,510.0,1412.0,454.0,2.0,89300
-122.2,37.8,45.0,1852.0,393.0,1132.0,349.0,2.7,101400
-122.2,37.8,41.0,921.0,207.0,522.0,159.0,1.2,72500
-122.2,37.8,45.0,995.0,238.0,630.0,237.0,1.9,74100
-122.2,37.8,36.0,606.0,132.0,531.0,133.0,1.6,70000
-122.2,37.8,37.0,2680.0,736.0,1925.0,667.0,1.4,84600
-122.2,37.8,38.0,1493.0,370.0,1144.0,351.0,0.8,81800
-122.2,37.8,19.0,2207.0,565.0,1481.0,520.0,1.3,81400
-122.2,37.8,28.0,856.0,189.0,435.0,162.0,0.8,81800
-122.2,37.8,26.0,1293.0,297.0,984.0,303.0,1.0,85800
-122.2,37.7,36.0,847.0,212.0,567.0,159.0,1.2,87100
-122.2,37.7,42.0,541.0,154.0,380.0,123.0,2.3,83500
-122.2,37.7,44.0,1066.0,253.0,825.0,244.0,2.2,79700
-122.2,37.7,43.0,707.0,147.0,417.0,155.0,2.5,83400
-122.2,37.7,45.0,1528.0,291.0,801.0,287.0,1.3,84700
-122.2,37.7,42.0,909.0,215.0,646.0,198.0,2.9,80000
-122.2,37.7,43.0,1391.0,293.0,855.0,285.0,2.5,76400
-122.2,37.7,44.0,548.0,119.0,435.0,136.0,2.1,79700
-122.2,37.7,42.0,4074.0,874.0,2736.0,780.0,2.5,82400
-122.2,37.7,41.0,1613.0,445.0,1481.0,414.0,2.4,97700
-122.2,37.7,47.0,463.0,134.0,327.0,137.0,2.2,97200
-122.2,37.7,43.0,818.0,193.0,494.0,179.0,2.5,101600
-122.2,37.7,43.0,1473.0,371.0,1231.0,341.0,2.2,86500
-122.2,37.7,35.0,504.0,126.0,323.0,109.0,1.8,90500
-122.2,37.7,46.0,1026.0,226.0,749.0,225.0,3.0,107600
-122.2,37.7,46.0,769.0,183.0,693.0,178.0,2.2,84200
-122.2,37.7,46.0,2103.0,391.0,1339.0,354.0,2.2,88900
-122.2,37.8,45.0,330.0,76.0,282.0,80.0,4.0,80700
-122.2,37.8,46.0,941.0,218.0,621.0,195.0,1.3,87100
-122.2,37.8,38.0,992.0,239.5,732.0,259.0,1.6,85100
-122.2,37.8,45.0,990.0,261.0,901.0,260.0,2.2,82000
-122.2,37.8,36.0,1126.0,263.0,482.0,150.0,1.9,82800
-122.2,37.8,43.0,1036.0,233.0,652.0,213.0,2.1,84600
-122.2,37.8,36.0,1047.0,214.0,651.0,166.0,1.7,82100
-122.2,37.8,33.0,1280.0,307.0,999.0,286.0,2.6,89300
-122.2,37.8,43.0,1587.0,320.0,907.0,306.0,2.0,98300
-122.2,37.8,41.0,1257.0,271.0,828.0,230.0,2.5,92300
-122.2,37.8,44.0,1218.0,248.0,763.0,254.0,2.3,88800
-122.2,37.8,48.0,1751.0,390.0,935.0,349.0,1.4,90000
-122.2,37.8,45.0,2299.0,514.0,1437.0,484.0,2.5,95500
-122.2,37.8,38.0,2457.0,624.0,1516.0,482.0,1.6,91700
-122.2,37.8,47.0,998.0,211.0,597.0,185.0,3.2,100400
-122.2,37.8,40.0,1685.0,343.0,949.0,342.0,1.8,94800
-122.2,37.8,46.0,1827.0,307.0,881.0,302.0,4.7,164300
-122.2,37.8,36.0,2781.0,574.0,1438.0,519.0,2.5,155500
-122.2,37.8,39.0,1823.0,286.0,763.0,270.0,6.1,196900
-122.1,37.8,27.0,2229.0,365.0,1297.0,355.0,4.8,279100
-122.1,37.8,34.0,1513.0,231.0,545.0,211.0,5.6,252800
-122.1,37.8,26.0,3266.0,491.0,1222.0,533.0,5.4,275400
-122.1,37.8,33.0,1809.0,261.0,808.0,219.0,6.9,250000
-122.1,37.8,28.0,794.0,111.0,329.0,109.0,7.7,329800
-122.1,37.8,36.0,690.0,105.0,299.0,109.0,4.0,195500
-122.1,37.8,33.0,1334.0,200.0,579.0,202.0,6.8,255900
-122.1,37.8,30.0,414.0,54.0,137.0,50.0,5.0,311100
-122.1,37.8,36.0,768.0,93.0,229.0,93.0,5.4,330000
-122.1,37.7,41.0,4400.0,666.0,1476.0,648.0,5.0,248900
-122.2,37.8,46.0,954.0,161.0,429.0,154.0,2.9,142900
-122.2,37.8,40.0,1445.0,256.0,849.0,255.0,3.9,126300
-122.2,37.8,44.0,1938.0,399.0,946.0,331.0,3.2,135800
-122.2,37.7,41.0,856.0,178.0,571.0,191.0,3.1,130600
-122.2,37.8,24.0,1790.0,454.0,1137.0,386.0,2.5,107900
