Customer_ID,Age,Gender,Income,Purchase_Amount,Region
136,46.0,Male,50000.0,2700.0,West
137,53.0,Male,60000.0,1800.0,East
138,39.0,Female,55000.0,3300.0,North
139,55.0,Male,20000.0,4500.0,West
140,31.0,Female,65000.0,2000.0,East
141,59.0,Male,60000.0,800.0,West
142,45.0,nan,20000.0,3200.0,East
143,52.0,Female,35000.0,700.0,nan
144,29.0,Female,75000.0,1300.0,West
145,48.0,Male,35000.0,2000.0,West
146,23.0,Male,40000.0,1300.0,West
147,38.0,Female,25000.0,2000.0,North
148,44.0,Male,50000.0,2300.0,South
149,18.0,Male,75000.0,2700.0,West
150,58.0,nan,,800.0,East
151,22.0,Female,40000.0,3700.0,West
152,44.0,Male,30000.0,900.0,North
153,44.0,Male,,500.0,East
154,36.0,Male,45000.0,1600.0,South
155,46.0,Female,55000.0,4600.0,East
156,27.0,Male,75000.0,4600.0,East
157,44.0,Male,30000.0,1400.0,East
158,41.0,Male,30000.0,2600.0,East
159,55.0,Male,40000.0,1900.0,East
160,49.0,Female,70000.0,3400.0,South
161,,Male,25000.0,1400.0,West
162,43.0,nan,75000.0,1900.0,North
163,29.0,Male,70000.0,1100.0,East
164,57.0,Male,40000.0,700.0,East
165,19.0,Male,45000.0,4300.0,West
166,55.0,Male,65000.0,700.0,East
167,22.0,nan,60000.0,2800.0,West
168,24.0,Female,60000.0,600.0,nan
169,43.0,Female,25000.0,3500.0,South
170,25.0,Female,45000.0,600.0,South
171,53.0,Male,25000.0,3000.0,South
172,49.0,Female,75000.0,3200.0,South
173,58.0,Male,75000.0,3500.0,East
174,40.0,Female,20000.0,2200.0,West
175,31.0,Male,70000.0,2400.0,North
176,48.0,Male,60000.0,800.0,North
177,48.0,Male,30000.0,2100.0,South
178,40.0,Male,70000.0,3100.0,West
179,57.0,Male,50000.0,4500.0,East
180,28.0,Male,75000.0,2500.0,North
181,55.0,nan,55000.0,2400.0,West
182,18.0,Male,45000.0,900.0,West
183,19.0,Male,,,North
184,53.0,Female,25000.0,800.0,East
185,33.0,Female,75000.0,4400.0,West
186,18.0,Male,70000.0,1500.0,South
187,18.0,Female,55000.0,2900.0,North
188,44.0,Female,70000.0,4900.0,North
189,39.0,Male,,3700.0,North
190,53.0,nan,55000.0,1700.0,West
191,48.0,Female,50000.0,2900.0,West
192,49.0,Male,,4800.0,North
193,,Male,40000.0,3000.0,South
194,35.0,nan,35000.0,1200.0,North
195,18.0,Female,40000.0,2900.0,North
196,42.0,Female,60000.0,2500.0,West
197,48.0,Female,70000.0,3300.0,South
198,22.0,Female,75000.0,4600.0,South
199,48.0,nan,75000.0,2000.0,South
200,20.0,nan,75000.0,2900.0,East
